What family is the grape vine a member of?,Ampelidaceae,Aranondei,Raisinex,Vinosae
What family is the grape vine a member of?,Ampelidaceae,Penis Viifera,Baslas,Ubiles
99% of wines are made from which species of vine?,Vinis Vinifera,The stoma,The root,The stem
Where are the reproductive organs of the grape?,in the flowers,Malbec & Cabernet,Chardonnay and Cabernet,Chardonnay and Chablis
Pinotage is a cross of which grape varieties?,Pinot Noir & Cinsault,Cabernet Sauvignon and Malbec,Malbec and Rosin,Pinot noir and pinot gris
Ruby Cabernet is a cross of which grape varieties?,Cabernet Sauvignon & Carignan,"Leathery, carpet, silky",Cool calm and collected,"Icy, bitter, ashy"
What are the characteristics of a cool climate Chardonnay?,"Steely, medium/light body, high acidity, apple/green plum notes, citrus","Sour, meaty, juicy",Pinapple and grapefruit,"Acrid, buttery, chocolate"
What are the characteristics of a warm climate Chardonnay?,"Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity.",A type of illness,A type of port,Home brew
What is malolactic fermentation?,,"Birmingham, Delhi, Plumsted","Essex, Costa del Sol, Kent","Berlin, Sweden and Cambodia"
What are the classic Chardonnay regions?,"Burgundy, Champagne, California, Australia, New Zealand and others - widely grown","Birmingham, Delhi, Plumsted","Essex, Costa del Sol, Kent","Berlin, Sweden and Cambodia"
In which countries/areas is Sauvignon Blanc widely grown?,"Loire Valley, Bordeaux, New Zealand, South Africa, Australia, Chile, California",Penis Viifera,Baslas,Ubiles
What is the name of Californian Sauvignon Blanc aged in oak?,Fume Blanc,"Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity.","Sour, meaty, juicy",Pinapple and grapefruit
What are the classic flavour characteristics of Sauvignon Blanc?,"Green herbaceous flavours, gooseberry, green pepper, grass, passion fruit, elderflower","Sour, meaty, juicy",Pinapple and grapefruit,"Acrid, buttery, chocolate"
What flavours might develop as Sauvignon Blanc develops?,"Asparagus, peas","Loire Valley, Bordeaux, New Zealand, South Africa, Australia, Chile, California","Birmingham, Delhi, Plumsted","Essex, Costa del Sol, Kent"
What are some classic Sauvingon Blanc regions?,"Sancerre, Pouilly Fume, Marlborough",You get pissed quicker,It's older,Woody
What are some characteristics of the Riesling grape?,"Late ripening, hardy, high acidity, prodcues great wines in a range of styles","Burgundy, Champagne, California, Australia, New Zealand and others - widely grown","Birmingham, Delhi, Plumsted","Essex, Costa del Sol, Kent"
What are some characteritics of cool climate Rieslings?,Grape/apple juice - high natural acidity balanced with some sugar,Tokai,Roussau,Sour bint
Riesling generally benefits from oak ageing? T or F,F,A buffalo,The german batman,Chardonnay
What characters does Riesling develop with age?,"Honey, smoke, petrol",Crouchen Blanc,Tokai,Roussau
What are some classic Riesling regions?,"Germany (Mosel, Pfalz, Nahe, Rhiengau), Alsace, Austria (Wachau), Clare & Eden Valleys (Aus), Marlborough & Nelson (NZ)","Laski Rizling (Slovenia, Croatia & Serbia); Olasz Rizling (Hungary)",Crouchen Blanc,Tokai
What is another name for Hunter Valley Riesling?,Semillon,"Melon & peach fruit flavours, tropical fruits e.g. banana, mango, fig, can be full bodied, high in alcohol & low acidity.","Sour, meaty, juicy",Pinapple and grapefruit
What is Cape Riesling another name for?,Crouchen Blanc,Cabernet Sauvignon and Malbec,Malbec and Rosin,Pinot noir and pinot gris
What are other names for Welschriesling?,"Laski Rizling (Slovenia, Croatia & Serbia); Olasz Rizling (Hungary)",Calais Jungle,La Rochelle,Papillion
